GameState,PossibleArrows,WinProb,TieProb
112150198607872,2;3;5;10;12;13;19;20;21;50;51;52;,1,0
112287637504000,3;4;5;12;13;14;19;21;22;59;60;62;,0.333333,0.666667
112287637516288,4;5;6;8;12;13;16;21;22;56;60;62;,1,0
112287637520384,3;5;6;8;13;14;16;19;21;56;59;62;,1,0
112287637524480,3;4;6;8;12;14;16;19;22;56;59;60;,1,0
112287637536768,3;4;6;12;13;14;19;21;22;51;52;53;,0.333333,0.666667
112287637549056,4;5;6;8;12;14;16;21;22;48;52;53;,1,0
112287637553152,3;5;6;8;13;14;16;19;22;48;51;53;,1,0
112287637561344,3;4;5;8;12;13;16;19;21;48;51;52;,1,0
112356356980736,2;4;5;10;13;14;20;21;22;58;60;62;,0,1
112356356988928,4;5;6;8;13;14;16;20;21;56;60;62;,1,0
112356356997120,2;5;6;8;10;13;16;21;22;56;58;62;,1,0
112356357001216,2;4;6;8;10;14;16;20;22;56;58;60;,1,0
112356357013504,2;4;6;10;13;14;20;21;22;50;52;53;,0,1
112356357021696,4;5;6;8;13;14;16;20;22;48;52;53;,1,0
112356357029888,2;5;6;8;10;14;16;21;22;48;50;53;,1,0
112356357038080,2;4;5;8;10;13;16;20;21;48;50;52;,1,0
112493795934208,2;3;4;10;12;14;19;20;22;58;59;62;,0,1
112493795942400,3;4;6;8;12;14;16;19;20;56;59;62;,0.666667,0.333333
112493795946496,2;4;6;8;10;12;16;20;22;56;58;62;,0.833333,0.166667
112493795950592,2;3;6;8;10;14;16;19;22;56;58;59;,0.833333,0.166667
112493795966976,2;3;6;10;12;14;19;20;22;50;51;52;,0,1
112493795975168,3;4;6;8;12;14;16;19;22;48;51;52;,0.333333,0.666667
112493795979264,2;4;6;8;10;14;16;20;22;48;50;52;,0.833333,0.166667
112493795991552,2;3;4;8;10;12;16;19;20;48;50;51;,0.833333,0.166667
112562515410944,2;3;5;10;12;13;19;20;21;58;59;60;,0,1
112562515419136,3;4;5;8;12;13;16;19;21;56;59;60;,0.666667,0.333333
112562515423232,2;4;5;8;10;13;16;20;21;56;58;60;,0.833333,0.166667
112562515431424,2;3;4;8;10;12;16;19;20;56;58;59;,1,0
112562515443712,2;3;4;10;12;13;19;20;21;50;51;53;,0,1
112562515451904,3;4;5;8;12;13;16;19;20;48;51;53;,0.333333,0.666667
112562515456000,2;4;5;8;10;12;16;20;21;48;50;53;,0.666667,0.333333
112562515460096,2;3;5;8;10;13;16;19;21;48;50;51;,0.833333,0.166667
113249710219264,3;4;5;12;13;14;19;20;22;35;37;38;,0.833333,0.166667
113249710223360,2;4;5;10;12;14;20;21;22;34;37;38;,1,0
113249710227456,2;3;5;10;13;14;19;21;22;34;35;38;,1,0
113249710235648,2;3;4;10;12;13;19;20;21;34;35;37;,1,0
113387149164544,3;4;6;12;13;14;19;20;21;35;37;38;,0.333333,0.666667
113387149176832,4;5;6;8;12;14;16;20;21;32;37;38;,1,0
113387149180928,3;5;6;8;13;14;16;19;21;32;35;38;,1,0
113387149189120,3;4;5;8;12;13;16;19;20;32;35;37;,1,0
113455868641280,2;4;6;10;12;13;20;21;22;34;37;38;,0,1
113455868649472,4;5;6;8;12;13;16;20;22;32;37;38;,1,0
113455868657664,2;5;6;8;10;13;16;21;22;32;34;38;,1,0
113455868665856,2;4;5;8;10;12;16;20;21;32;34;37;,1,0
113524588118016,2;3;6;10;13;14;19;21;22;34;35;37;,0.666667,0.333333
113524588126208,3;5;6;8;13;14;16;19;22;32;35;37;,1,0
113524588130304,2;5;6;8;10;14;16;21;22;32;34;37;,1,0
113524588142592,2;3;5;8;10;13;16;19;21;32;34;35;,1,0
113593307594752,2;3;4;10;12;14;19;20;22;34;35;38;,0,1
113593307602944,3;4;6;8;12;14;16;19;20;32;35;38;,0.833333,0.166667
113593307607040,2;4;6;8;10;12;16;20;22;32;34;38;,0.833333,0.166667
113593307611136,2;3;6;8;10;14;16;19;22;32;34;35;,1,0
113799466000384,3;4;6;12;13;14;19;20;21;35;37;38;,1,0
113799466004480,2;4;6;10;12;13;20;21;22;34;37;38;,1,0
113799466008576,2;3;6;10;13;14;19;21;22;34;35;37;,1,0
113799466012672,2;3;4;10;12;14;19;20;22;34;35;38;,1,0
113936904945664,3;4;5;12;13;14;19;20;22;35;37;38;,0.833333,0.166667
113936904957952,4;5;6;8;12;13;16;20;22;32;37;38;,1,0
113936904962048,3;5;6;8;13;14;16;19;22;32;35;37;,1,0
113936904966144,3;4;6;8;12;14;16;19;20;32;35;38;,1,0
114005624422400,2;4;5;10;12;14;20;21;22;34;37;38;,0.333333,0.666667
114005624430592,4;5;6;8;12;14;16;20;21;32;37;38;,1,0
114005624438784,2;5;6;8;10;14;16;21;22;32;34;37;,1,0
114005624442880,2;4;6;8;10;12;16;20;22;32;34;38;,1,0
114074343899136,2;3;5;10;13;14;19;21;22;34;35;38;,0.666667,0.333333
114074343907328,3;5;6;8;13;14;16;19;21;32;35;38;,1,0
114074343911424,2;5;6;8;10;13;16;21;22;32;34;38;,1,0
114074343919616,2;3;6;8;10;14;16;19;22;32;34;35;,1,0
114211782852608,2;3;4;10;12;13;19;20;21;34;35;37;,0,1
114211782860800,3;4;5;8;12;13;16;19;20;32;35;37;,0.833333,0.166667
114211782864896,2;4;5;8;10;12;16;20;21;32;34;37;,0.833333,0.166667
114211782868992,2;3;5;8;10;13;16;19;21;32;34;35;,1,0
109951175098368,2;3;4;5;6;8;10;12;13;14;16;19;20;21;22;32;34;35;37;38;48;50;51;52;53;56;58;59;60;62;,1,0
112287637811200,4;5;7;12;13;14;21;22;23;44;46;47;,0.5,0.5
112287637815296,3;5;7;13;14;15;19;21;22;43;46;47;,0.833333,0.166667
112287637819392,3;4;7;12;14;15;19;22;23;43;44;46;,1,0
112287637823488,3;4;5;12;13;15;19;21;23;43;44;47;,1,0
112356357283840,4;5;7;13;14;15;20;21;22;44;46;47;,0.333333,0.666667
112356357292032,2;5;7;10;13;14;21;22;23;42;46;47;,0.833333,0.166667
112356357296128,2;4;7;10;14;15;20;22;23;42;44;46;,1,0
112356357300224,2;4;5;10;13;15;20;21;23;42;44;47;,1,0
112493796237312,3;4;7;12;14;15;19;20;22;43;46;47;,0,1
112493796241408,2;4;7;10;12;14;20;22;23;42;46;47;,0,1
112493796245504,2;3;7;10;14;15;19;22;23;42;43;46;,0.666667,0.333333
112493796253696,2;3;4;10;12;15;19;20;23;42;43;47;,0.666667,0.333333
112562515714048,3;5;7;12;13;15;19;20;21;43;44;47;,0.333333,0.666667
112562515718144,2;5;7;10;12;13;20;21;23;42;44;47;,0.333333,0.666667
112562515722240,2;3;5;10;13;15;19;21;23;42;43;47;,0.666667,0.333333
112562515726336,2;3;7;10;12;15;19;20;23;42;43;44;,1,0
112631235190784,3;4;5;12;13;14;19;21;22;43;44;46;,0.333333,0.666667
112631235194880,2;4;5;10;13;14;20;21;22;42;44;46;,0.333333,0.666667
112631235203072,2;3;4;10;12;14;19;20;22;42;43;46;,0.666667,0.333333
112631235207168,2;3;5;10;12;13;19;20;21;42;43;44;,1,0
112837393625088,4;5;7;12;13;14;20;22;23;37;38;39;,0.666667,0.333333
112837393629184,3;5;7;13;14;15;19;22;23;35;37;38;,0.833333,0.166667
112837393633280,3;4;7;12;14;15;19;20;22;35;38;39;,1,0
112837393637376,3;4;5;12;13;15;19;20;23;35;37;39;,1,0
112906113097728,4;5;7;12;14;15;20;21;22;37;38;39;,0.333333,0.666667
112906113105920,2;5;7;10;14;15;21;22;23;34;37;38;,0.833333,0.166667
112906113110016,2;4;7;10;12;14;20;22;23;34;38;39;,1,0
112906113114112,2;4;5;10;12;15;20;21;23;34;37;39;,1,0
112974832574464,3;5;7;13;14;15;19;21;22;35;38;39;,0.333333,0.666667
112974832578560,2;5;7;10;13;14;21;22;23;34;38;39;,0.5,0.5
112974832586752,2;3;7;10;14;15;19;22;23;34;35;38;,1,0
112974832590848,2;3;5;10;13;15;19;21;23;34;35;39;,1,0
113112271527936,3;4;7;12;13;15;19;20;21;35;37;39;,0,1
113112271532032,2;4;7;10;12;13;20;21;23;34;37;39;,0,1
113112271536128,2;3;7;10;13;15;19;21;23;34;35;37;,0.666667,0.333333
113112271540224,2;3;4;10;12;15;19;20;23;34;35;39;,0.666667,0.333333
113180991004672,3;4;5;12;13;14;19;20;22;35;37;38;,0,1
113180991008768,2;4;5;10;12;14;20;21;22;34;37;38;,0,1
113180991012864,2;3;5;10;13;14;19;21;22;34;35;38;,0.666667,0.333333
113180991021056,2;3;4;10;12;13;19;20;21;34;35;37;,0.666667,0.333333
109951175360512,2;3;4;5;7;10;12;13;14;15;19;20;21;22;23;34;35;37;38;39;42;43;44;46;47;58;59;60;61;62;,1,0
112150199382016,5;6;7;12;13;14;20;21;23;44;46;47;,1,0
112150199386112,3;5;6;13;14;15;19;21;23;43;46;47;,1,0
112150199390208,3;6;7;12;14;15;19;20;23;43;44;46;,1,0
112150199394304,3;5;7;12;13;15;19;20;21;43;44;47;,1,0
112356357799936,4;5;6;13;14;15;20;21;23;44;46;47;,0.333333,0.666667
112356357816320,5;6;7;8;13;14;16;21;23;40;46;47;,1,0
112356357820416,4;6;7;8;14;15;16;20;23;40;44;46;,1,0
112356357824512,4;5;7;8;13;15;16;20;21;40;44;47;,1,0
112493796753408,3;4;6;12;14;15;19;20;23;43;46;47;,0,1
112493796765696,4;6;7;8;12;14;16;20;23;40;46;47;,0.333333,0.666667
112493796769792,3;6;7;8;14;15;16;19;23;40;43;46;,1,0
112493796777984,3;4;7;8;12;15;16;19;20;40;43;47;,1,0
112562516230144,3;4;5;12;13;15;19;21;23;43;44;47;,0.333333,0.666667
112562516242432,4;5;7;8;12;13;16;21;23;40;44;47;,0.833333,0.166667
112562516246528,3;5;7;8;13;15;16;19;21;40;43;47;,1,0
112562516250624,3;4;7;8;12;15;16;19;23;40;43;44;,1,0
112631235706880,3;5;6;12;13;14;19;20;21;43;44;46;,0.333333,0.666667
112631235719168,4;5;6;8;13;14;16;20;21;40;44;46;,0.833333,0.166667
112631235727360,3;4;6;8;12;14;16;19;20;40;43;46;,1,0
112631235731456,3;4;5;8;12;13;16;19;21;40;43;44;,1,0
112699955195904,4;6;7;12;13;14;20;21;23;37;38;39;,1,0
112699955200000,3;6;7;13;14;15;19;21;23;35;37;38;,1,0
112699955204096,3;4;6;12;14;15;19;20;23;35;38;39;,1,0
112699955208192,3;4;7;12;13;15;19;20;21;35;37;39;,1,0
112906113613824,4;5;6;12;14;15;20;21;23;37;38;39;,0.333333,0.666667
112906113630208,5;6;7;8;14;15;16;21;23;32;37;38;,1,0
112906113634304,4;6;7;8;12;14;16;20;23;32;38;39;,1,0
112906113638400,4;5;7;8;12;15;16;20;21;32;37;39;,1,0
112974833090560,3;5;6;13;14;15;19;21;23;35;38;39;,0.333333,0.666667
112974833102848,5;6;7;8;13;14;16;21;23;32;38;39;,1,0
112974833111040,3;6;7;8;14;15;16;19;23;32;35;38;,1,0
112974833115136,3;5;7;8;13;15;16;19;21;32;35;39;,1,0
113112272044032,3;4;5;12;13;15;19;20;23;35;37;39;,0,1
