GameState,PossibleArrows,WinProb,TieProb
94826441904128,6;7;12;14;52;55;,1,0
94828589387776,2;6;14;15;50;55;,1,0
94830736871424,2;7;12;15;50;52;,1,0
94816778240000,6;7;10;15;58;62;,0,1
94817851981824,1;7;14;15;57;62;,0,1
94823220690944,1;6;10;14;57;58;,0.5,0.5
94825368174592,6;7;10;14;50;55;,0,1
94826441916416,1;6;14;15;49;55;,0,1
94830736883712,1;7;10;15;49;50;,0.5,0.5
94816778248192,2;7;12;15;58;60;,0.5,0.5
94819999473664,1;7;10;15;57;58;,0.5,0.5
94823220699136,1;2;10;12;57;60;,1,0
94825368182784,2;7;10;12;52;55;,0.5,0.5
94826441924608,1;7;12;15;49;52;,0.5,0.5
94828589408256,1;2;10;15;49;55;,1,0
94816778252288,2;6;10;12;60;62;,0.5,0.5
94817851994112,1;6;12;14;57;60;,0.5,0.5
94819999477760,1;2;10;14;57;62;,1,0
94825368186880,2;6;12;14;50;52;,0.5,0.5
94828589412352,1;6;10;14;49;50;,0.5,0.5
94830736896000,1;2;10;12;49;52;,1,0
94811409551360,6;7;10;15;58;62;,1,0
94813557035008,2;7;12;15;58;60;,1,0
94814630776832,2;6;10;12;60;62;,1,0
94826441936896,6;7;12;15;44;46;,1,0
94828589420544,2;6;10;15;46;47;,1,0
94830736904192,2;7;10;12;44;47;,1,0
94808188329984,6;7;12;15;60;62;,0.5,0.5
94811409555456,1;7;14;15;57;62;,1,0
94814630780928,1;6;12;14;57;60;,1,0
94825368199168,6;7;12;14;44;47;,1,0
94828589424640,1;6;14;15;41;47;,1,0
94830736908288,1;7;12;15;41;44;,1,0
94808188338176,2;7;14;15;58;62;,0,1
94813557047296,1;7;10;15;57;58;,1,0
94814630789120,1;2;10;14;57;62;,1,0
94825368207360,2;7;10;14;46;47;,1,0
94826441949184,1;7;14;15;41;46;,1,0
94830736916480,1;2;10;15;41;47;,1,0
94808188350464,2;6;12;14;58;60;,0.5,0.5
94811409575936,1;6;10;14;57;58;,0.5,0.5
94813557059584,1;2;10;12;57;60;,1,0
94825368219648,2;6;10;12;44;46;,0.5,0.5
94826441961472,1;6;12;14;41;44;,0.5,0.5
94828589445120,1;2;10;14;41;46;,1,0
94811409584128,6;7;10;14;50;55;,1,0
94813557067776,2;7;10;12;52;55;,1,0
94814630809600,2;6;12;14;50;52;,1,0
94817852035072,6;7;12;14;44;47;,1,0
94819999518720,2;7;10;14;46;47;,1,0
94823220744192,2;6;10;12;44;46;,1,0
94808188362752,6;7;12;14;52;55;,1,0
94811409588224,1;6;14;15;49;55;,1,0
94813557071872,1;7;12;15;49;52;,1,0
94816778297344,6;7;12;15;44;46;,1,0
94819999522816,1;7;14;15;41;46;,1,0
94823220748288,1;6;12;14;41;44;,1,0
94808188370944,2;6;14;15;50;55;,1,0
94813557080064,1;2;10;15;49;55;,1,0
94814630821888,1;6;10;14;49;50;,1,0
94816778305536,2;6;10;15;46;47;,1,0
94817852047360,1;6;14;15;41;47;,1,0
94823220756480,1;2;10;14;41;46;,1,0
94808188379136,2;7;12;15;50;52;,0,1
94811409604608,1;7;10;15;49;50;,0.5,0.5
94814630830080,1;2;10;12;49;52;,1,0
94816778313728,2;7;10;12;44;47;,0,1
94817852055552,1;7;12;15;41;44;,0,1
94819999539200,1;2;10;15;41;47;,0.5,0.5
94764164710400,1;2;6;7;10;12;14;15;41;44;46;47;49;50;52;55;57;58;60;62;,0.958333,0.0416667
95024010399744,4;7;11;15;59;60;,1,0
95025084141568,2;7;12;15;58;60;,1,0
95029379108864,2;4;11;12;58;59;,1,0
95032600334336,4;7;11;12;51;55;,1,0
95033674076160,2;4;12;15;50;55;,1,0
95034747817984,2;7;11;15;50;51;,1,0
95022936666112,4;7;10;15;58;60;,0.5,0.5
95024010407936,1;7;12;15;57;60;,0.5,0.5
95029379117056,1;4;10;12;57;58;,1,0
95031526600704,4;7;10;12;50;55;,1,0
95032600342528,1;4;12;15;49;55;,1,0
95034747826176,1;7;10;15;49;50;,0.5,0.5
95022936670208,2;7;11;15;58;59;,0.5,0.5
95025084153856,1;7;10;15;57;58;,0.5,0.5
95029379121152,1;2;10;11;57;59;,1,0
95031526604800,2;7;10;11;51;55;,0.5,0.5
95032600346624,1;7;11;15;49;51;,0.5,0.5
95033674088448,1;2;10;15;49;55;,0.5,0.5
95022936682496,2;4;10;11;59;60;,1,0
95024010424320,1;4;11;12;57;59;,1,0
95025084166144,1;2;10;12;57;60;,1,0
95031526617088,2;4;11;12;50;51;,0.5,0.5
95033674100736,1;4;10;12;49;50;,1,0
95034747842560,1;2;10;11;49;51;,1,0
95016494239744,4;7;10;15;58;60;,1,0
95017567981568,2;7;11;15;58;59;,1,0
95020789207040,2;4;10;11;59;60;,1,0
95032600367104,4;7;11;15;43;44;,1,0
95033674108928,2;4;10;15;44;47;,1,0
95034747850752,2;7;10;11;43;47;,1,0
95014346760192,4;7;11;15;59;60;,1,0
95016494243840,1;7;12;15;57;60;,1,0
95020789211136,1;4;11;12;57;59;,1,0
