GameState,PossibleArrows,WinProb,TieProb
0716285013385700,43;,0,1
0716280013385700,43;50;,0,1
0716284213385900,49;,1,0
0716284913385900,42;,0,1
0716280013385900,42;49;,1,0
0716280013380000,42;43;49;50;57;59;,0.5,0.5
0716425913384900,28;,0,1
0716420013384900,28;59;,1,0
0716426013385100,25;,0,1
0716420013385100,25;60;,1,0
0716424913385900,28;,0,1
0716420013385900,28;49;,1,0
0716425113386000,25;,0,1
0716420013386000,25;51;,1,0
0716420013380000,25;28;49;51;59;60;,0.5,0.5
0716436013384900,26;,0,1
0716430013384900,26;60;,1,0
0716435713385000,28;,0,1
0716430013385000,28;57;,1,0
0716435013385700,28;,0,1
0716430013385700,28;50;,1,0
0716434913386000,26;,0,1
0716430013386000,26;49;,1,0
0716430013380000,26;28;49;50;57;60;,0.5,0.5
0716445913385000,25;,0,1
0716440013385000,25;59;,1,0
0716445713385100,26;,0,1
0716440013385100,26;57;,1,0
0716445113385700,26;,0,1
0716440013385700,26;51;,1,0
0716445013385900,25;,0,1
0716440013385900,25;50;,1,0
0716440013380000,25;26;50;51;57;59;,0,1
0716495913384200,28;,0,1
0716490013384200,28;59;,1,0
0716496013384300,26;,0,1
0716490013384300,26;60;,1,0
0716490013385900,28;42;,1,0
0716490013386000,26;43;,1,0
0716490013380000,26;28;42;43;59;60;,0,1
0716505713384300,28;,0,1
0716500013384300,28;57;,1,0
0716505913384400,25;,0,1
0716500013384400,25;59;,1,0
0716500013385700,28;43;,1,0
0716500013385900,25;44;,1,0
0716500013380000,25;28;43;44;57;59;,0,1
0716516013384200,25;,0,1
0716510013384200,25;60;,1,0
0716515713384400,26;,0,1
0716510013384400,26;57;,1,0
0716510013385700,26;44;,1,0
0716510013386000,25;42;,1,0
0716510013380000,25;26;42;44;57;60;,0,1
0716570013384300,28;50;,1,0
0716570013384400,26;51;,1,0
0716570013385000,28;43;,1,0
0716570013385100,26;44;,1,0
0716570013380000,26;28;43;44;50;51;,0,1
0716590013384200,28;49;,1,0
0716590013384400,25;50;,1,0
0716590013384900,28;42;,1,0
0716590013385000,25;44;,1,0
0716590013380000,25;28;42;44;49;50;,0,1
0716600013384200,25;51;,1,0
0716600013384300,26;49;,1,0
0716600013384900,26;43;,1,0
0716600013385100,25;42;,1,0
0716600013380000,25;26;42;43;49;51;,0,1
0716000013380000,25;26;28;42;43;44;49;50;51;57;59;60;,1,0
0716253813425160,,1,0
0716253813425100,60;,0,1
0716256013425100,38;,0,1
0716250013425100,38;60;,1,0
0716253513425262,,1,0
0716253513425200,62;,0,1
0716256213425200,35;,0,1
0716250013425200,35;62;,1,0
0716253813426000,51;,0,1
0716255113426000,38;,0,1
0716250013426000,38;51;,1,0
0716253513426200,52;,0,1
0716255213426200,35;,0,1
0716250013426200,35;52;,1,0
0716250013420000,35;38;51;52;60;62;,0,1
0716283813424959,,0,0
0716283813424900,59;,1,0
0716285913424900,38;,0,1
0716280013424900,38;59;,0,1
0716283313425162,,1,0
0716283313425100,62;,0,1
0716286213425100,33;,0,1
0716280013425100,33;62;,1,0
0716283813425900,49;,1,0
0716284913425900,38;,0,1
0716280013425900,38;49;,1,0
0716283313426200,51;,0,1
0716285113426200,33;,0,1
0716280013426200,33;51;,1,0
0716280013420000,33;38;49;51;59;62;,0.5,0.5
0716303513424960,,1,0
0716303513424900,60;,0,1
0716306013424900,35;,0,1
0716300013424900,35;60;,1,0
0716303313425259,,1,0
0716303313425200,59;,0,1
0716305913425200,33;,0,1
0716300013425200,33;59;,1,0
0716303313425900,52;,0,1
0716305213425900,33;,0,1
0716300013425900,33;52;,1,0
0716303513426000,49;,0,1
0716304913426000,35;,0,1
0716300013426000,35;49;,1,0
0716300013420000,33;35;49;52;59;60;,0,1
0716336213425100,28;,0,1
0716330013425100,28;62;,1,0
0716335913425200,30;,0,1
0716330013425200,30;59;,1,0
